interaction_id,lead_id,interaction_type,timestamp,channel,device_type,campaign_id,full_name,email,created_at,source_channel,location,lead_quality_score,converted
IT00689,LD00008,demo booked,2025-01-25,email campaign,mobile,CP781,Heather Schaefer,dianagray@example.org,2024-11-28,Email Campaign,Mauritius,67,0
IT00160,LD00009,ad clicked,2025-01-03,google ads,mobile,CP259,Jeffrey Davis,hendrickssusan@example.org,2024-12-24,Google Ads,Hong Kong,51,1
IT02089,LD00009,page viewed,2025-01-05,google ads,mobile,CP459,Jeffrey Davis,hendrickssusan@example.org,2024-12-24,Google Ads,Hong Kong,51,1
IT03820,LD00009,ad clicked,2025-01-25,google ads,mobile,CP253,Jeffrey Davis,hendrickssusan@example.org,2024-12-24,Google Ads,Hong Kong,51,1
IT02635,LD00009,email opened,2025-02-28,google ads,desktop,CP166,Jeffrey Davis,hendrickssusan@example.org,2024-12-24,Google Ads,Hong Kong,51,1
IT02993,LD00009,demo booked,2025-03-06,google ads,mobile,CP308,Jeffrey Davis,hendrickssusan@example.org,2024-12-24,Google Ads,Hong Kong,51,1
IT03102,LD00009,email opened,2025-03-23,google ads,mobile,CP976,Jeffrey Davis,hendrickssusan@example.org,2024-12-24,Google Ads,Hong Kong,51,1
IT04506,LD00010,demo booked,2024-05-31,instagram,desktop,CP447,Mary Rios,thompsondaisy@example.com,2024-05-25,Instagram,Malta,74,0
IT00983,LD00010,ad clicked,2024-07-11,instagram,mobile,CP140,Mary Rios,thompsondaisy@example.com,2024-05-25,Instagram,Malta,74,0
IT01563,LD00010,email opened,2024-07-29,instagram,desktop,CP857,Mary Rios,thompsondaisy@example.com,2024-05-25,Instagram,Malta,74,0
IT02688,LD00011,ad clicked,2025-07-18,linkedin,mobile,CP593,Anthony Morris,ystewart@example.net,2025-07-09,LinkedIn,Central African Republic,56,1
IT01702,LD00011,demo booked,2025-08-20,linkedin,desktop,CP401,Anthony Morris,ystewart@example.net,2025-07-09,LinkedIn,Central African Republic,56,1
IT01087,LD00011,demo booked,2025-08-29,linkedin,desktop,CP824,Anthony Morris,ystewart@example.net,2025-07-09,LinkedIn,Central African Republic,56,1
IT03878,LD00011,page viewed,2025-09-08,linkedin,desktop,CP886,Anthony Morris,ystewart@example.net,2025-07-09,LinkedIn,Central African Republic,56,1
IT04906,LD00011,demo booked,2025-09-12,linkedin,desktop,CP147,Anthony Morris,ystewart@example.net,2025-07-09,LinkedIn,Central African Republic,56,1
IT04363,LD00012,ad clicked,2025-02-25,email campaign,desktop,CP607,Glen Brown MD,carrshelley@example.org,2025-01-24,Email Campaign,Paraguay,87,1
IT00806,LD00012,ad clicked,2025-02-28,email campaign,mobile,CP907,Glen Brown MD,carrshelley@example.org,2025-01-24,Email Campaign,Paraguay,87,1
IT02497,LD00012,ad clicked,2025-03-12,email campaign,desktop,CP504,Glen Brown MD,carrshelley@example.org,2025-01-24,Email Campaign,Paraguay,87,1
IT00811,LD00012,demo booked,2025-03-31,email campaign,desktop,CP718,Glen Brown MD,carrshelley@example.org,2025-01-24,Email Campaign,Paraguay,87,1
IT02694,LD00012,page viewed,2025-03-31,email campaign,mobile,CP314,Glen Brown MD,carrshelley@example.org,2025-01-24,Email Campaign,Paraguay,87,1
IT04725,LD00012,page viewed,2025-04-09,email campaign,mobile,CP733,Glen Brown MD,carrshelley@example.org,2025-01-24,Email Campaign,Paraguay,87,1
IT04343,LD00013,page viewed,2024-03-28,instagram,mobile,CP517,Anthony Marshall,shannonhill@example.com,2024-03-03,Instagram,Colombia,65,1
IT00976,LD00013,email opened,2024-03-30,instagram,mobile,CP142,Anthony Marshall,shannonhill@example.com,2024-03-03,Instagram,Colombia,65,1
IT01755,LD00013,email opened,2024-05-14,instagram,desktop,CP295,Anthony Marshall,shannonhill@example.com,2024-03-03,Instagram,Colombia,65,1
IT03756,LD00014,ad clicked,2024-02-21,google ads,desktop,CP485,Paul Lynch,travis66@example.net,2024-01-30,Google Ads,Ukraine,98,0
IT03797,LD00014,page viewed,2024-03-12,google ads,mobile,CP384,Paul Lynch,travis66@example.net,2024-01-30,Google Ads,Ukraine,98,0
IT02828,LD00015,email opened,2024-11-25,email campaign,desktop,CP862,Maria Tapia,pearsonallison@example.com,2024-11-18,Email Campaign,Philippines,86,0
IT03345,LD00015,page viewed,2024-12-03,email campaign,mobile,CP301,Maria Tapia,pearsonallison@example.com,2024-11-18,Email Campaign,Philippines,86,0
IT03524,LD00015,demo booked,2025-01-28,email campaign,desktop,CP658,Maria Tapia,pearsonallison@example.com,2024-11-18,Email Campaign,Philippines,86,0
IT04741,LD00015,ad clicked,2025-02-05,email campaign,mobile,CP506,Maria Tapia,pearsonallison@example.com,2024-11-18,Email Campaign,Philippines,86,0
IT03631,LD00015,page viewed,2025-02-06,email campaign,desktop,CP206,Maria Tapia,pearsonallison@example.com,2024-11-18,Email Campaign,Philippines,86,0
IT02919,LD00015,page viewed,2025-02-10,email campaign,desktop,CP103,Maria Tapia,pearsonallison@example.com,2024-11-18,Email Campaign,Philippines,86,0
IT02665,LD00016,page viewed,2024-07-05,google ads,desktop,CP947,Lauren Stanton,mreeves@example.com,2024-06-01,Google Ads,Montenegro,45,1
IT00170,LD00016,page viewed,2024-07-26,google ads,desktop,CP138,Lauren Stanton,mreeves@example.com,2024-06-01,Google Ads,Montenegro,45,1
IT03301,LD00017,demo booked,2025-03-06,instagram,mobile,CP999,Nancy Johnson,bryantjamie@example.net,2025-01-29,Instagram,Georgia,56,1
IT00632,LD00017,ad clicked,2025-03-29,instagram,desktop,CP997,Nancy Johnson,bryantjamie@example.net,2025-01-29,Instagram,Georgia,56,1
IT00995,LD00017,ad clicked,2025-04-10,instagram,desktop,CP816,Nancy Johnson,bryantjamie@example.net,2025-01-29,Instagram,Georgia,56,1
IT03358,LD00017,page viewed,2025-04-11,instagram,mobile,CP585,Nancy Johnson,bryantjamie@example.net,2025-01-29,Instagram,Georgia,56,1
IT03606,LD00017,ad clicked,2025-04-24,instagram,desktop,CP885,Nancy Johnson,bryantjamie@example.net,2025-01-29,Instagram,Georgia,56,1
IT01614,LD00018,demo booked,2023-12-10,google ads,desktop,CP341,Timothy Terrell,gabriellerodriguez@example.com,2023-12-09,Google Ads,Mongolia,58,0
IT02441,LD00018,demo booked,2024-01-06,google ads,mobile,CP687,Timothy Terrell,gabriellerodriguez@example.com,2023-12-09,Google Ads,Mongolia,58,0
IT02444,LD00018,page viewed,2024-01-31,google ads,desktop,CP774,Timothy Terrell,gabriellerodriguez@example.com,2023-12-09,Google Ads,Mongolia,58,0
IT02914,LD00018,demo booked,2024-02-17,google ads,desktop,CP427,Timothy Terrell,gabriellerodriguez@example.com,2023-12-09,Google Ads,Mongolia,58,0
IT02261,LD00018,email opened,2024-02-24,google ads,mobile,CP576,Timothy Terrell,gabriellerodriguez@example.com,2023-12-09,Google Ads,Mongolia,58,0
IT04689,LD00018,ad clicked,2024-02-25,google ads,desktop,CP664,Timothy Terrell,gabriellerodriguez@example.com,2023-12-09,Google Ads,Mongolia,58,0
IT00371,LD00018,ad clicked,2024-02-28,google ads,desktop,CP199,Timothy Terrell,gabriellerodriguez@example.com,2023-12-09,Google Ads,Mongolia,58,0
IT00931,LD00019,email opened,2024-06-22,email campaign,desktop,CP251,Melanie Aguilar,bryantphillip@example.net,2024-06-22,Email Campaign,Antigua and Barbuda,39,1
IT01465,LD00019,ad clicked,2024-07-10,email campaign,mobile,CP900,Melanie Aguilar,bryantphillip@example.net,2024-06-22,Email Campaign,Antigua and Barbuda,39,1
IT04263,LD00019,demo booked,2024-07-13,email campaign,desktop,CP356,Melanie Aguilar,bryantphillip@example.net,2024-06-22,Email Campaign,Antigua and Barbuda,39,1
IT03408,LD00019,ad clicked,2024-08-16,email campaign,desktop,CP621,Melanie Aguilar,bryantphillip@example.net,2024-06-22,Email Campaign,Antigua and Barbuda,39,1
IT03853,LD00019,email opened,2024-09-08,email campaign,desktop,CP883,Melanie Aguilar,bryantphillip@example.net,2024-06-22,Email Campaign,Antigua and Barbuda,39,1
IT03051,LD00019,page viewed,2024-09-10,email campaign,desktop,CP158,Melanie Aguilar,bryantphillip@example.net,2024-06-22,Email Campaign,Antigua and Barbuda,39,1
IT00095,LD00019,ad clicked,2024-09-15,email campaign,desktop,CP475,Melanie Aguilar,bryantphillip@example.net,2024-06-22,Email Campaign,Antigua and Barbuda,39,1
IT02429,LD00020,page viewed,2025-06-18,email campaign,desktop,CP985,Johnny Fitzgerald,melissaabbott@example.com,2025-06-14,Email Campaign,Australia,63,1
IT04099,LD00020,demo booked,2025-06-22,email campaign,mobile,CP129,Johnny Fitzgerald,melissaabbott@example.com,2025-06-14,Email Campaign,Australia,63,1
IT02943,LD00020,page viewed,2025-07-22,email campaign,mobile,CP272,Johnny Fitzgerald,melissaabbott@example.com,2025-06-14,Email Campaign,Australia,63,1
IT02233,LD00020,page viewed,2025-08-05,email campaign,desktop,CP913,Johnny Fitzgerald,melissaabbott@example.com,2025-06-14,Email Campaign,Australia,63,1
IT01352,LD00020,ad clicked,2025-09-05,email campaign,desktop,CP677,Johnny Fitzgerald,melissaabbott@example.com,2025-06-14,Email Campaign,Australia,63,1
IT01849,LD00021,page viewed,2025-07-29,linkedin,desktop,CP336,John Chung,vcooper@example.net,2025-06-30,LinkedIn,French Southern Territories,63,1
IT03773,LD00021,demo booked,2025-08-01,linkedin,mobile,CP427,John Chung,vcooper@example.net,2025-06-30,LinkedIn,French Southern Territories,63,1
IT00449,LD00021,demo booked,2025-08-07,linkedin,mobile,CP320,John Chung,vcooper@example.net,2025-06-30,LinkedIn,French Southern Territories,63,1
IT03214,LD00021,demo booked,2025-09-08,linkedin,desktop,CP520,John Chung,vcooper@example.net,2025-06-30,LinkedIn,French Southern Territories,63,1
IT01199,LD00022,page viewed,2024-10-05,google ads,desktop,CP415,Colin Holt,kristigray@example.org,2024-10-03,Google Ads,El Salvador,62,0
IT01558,LD00022,demo booked,2024-10-11,google ads,desktop,CP899,Colin Holt,kristigray@example.org,2024-10-03,Google Ads,El Salvador,62,0
IT03736,LD00022,ad clicked,2024-10-28,google ads,mobile,CP466,Colin Holt,kristigray@example.org,2024-10-03,Google Ads,El Salvador,62,0
IT02029,LD00022,page viewed,2024-10-31,google ads,desktop,CP698,Colin Holt,kristigray@example.org,2024-10-03,Google Ads,El Salvador,62,0
IT04020,LD00022,email opened,2024-11-11,google ads,mobile,CP623,Colin Holt,kristigray@example.org,2024-10-03,Google Ads,El Salvador,62,0
IT00549,LD00023,ad clicked,2023-12-21,linkedin,desktop,CP328,Ricardo Barnes,josemitchell@example.com,2023-12-06,LinkedIn,Mauritius,100,0
IT02775,LD00023,page viewed,2023-12-24,linkedin,desktop,CP618,Ricardo Barnes,josemitchell@example.com,2023-12-06,LinkedIn,Mauritius,100,0
IT00596,LD00023,page viewed,2023-12-27,linkedin,desktop,CP923,Ricardo Barnes,josemitchell@example.com,2023-12-06,LinkedIn,Mauritius,100,0
IT01448,LD00023,page viewed,2024-02-19,linkedin,mobile,CP482,Ricardo Barnes,josemitchell@example.com,2023-12-06,LinkedIn,Mauritius,100,0
IT00123,LD00023,ad clicked,2024-02-25,linkedin,desktop,CP711,Ricardo Barnes,josemitchell@example.com,2023-12-06,LinkedIn,Mauritius,100,0
IT00181,LD00024,email opened,2025-02-06,instagram,desktop,CP620,Donald Bailey,wgarcia@example.com,2025-01-22,Instagram,Tanzania,61,0
IT00196,LD00024,page viewed,2025-02-11,instagram,mobile,CP261,Donald Bailey,wgarcia@example.com,2025-01-22,Instagram,Tanzania,61,0
IT03975,LD00024,page viewed,2025-02-12,instagram,mobile,CP300,Donald Bailey,wgarcia@example.com,2025-01-22,Instagram,Tanzania,61,0
IT01687,LD00024,email opened,2025-02-15,instagram,mobile,CP637,Donald Bailey,wgarcia@example.com,2025-01-22,Instagram,Tanzania,61,0
IT02746,LD00024,demo booked,2025-03-05,instagram,mobile,CP249,Donald Bailey,wgarcia@example.com,2025-01-22,Instagram,Tanzania,61,0
IT02633,LD00024,page viewed,2025-03-24,instagram,mobile,CP774,Donald Bailey,wgarcia@example.com,2025-01-22,Instagram,Tanzania,61,0
IT00051,LD00024,page viewed,2025-04-15,instagram,mobile,CP722,Donald Bailey,wgarcia@example.com,2025-01-22,Instagram,Tanzania,61,0
IT02284,LD00025,ad clicked,2025-07-21,instagram,mobile,CP305,Deborah Madden,thomascynthia@example.org,2025-06-05,Instagram,Luxembourg,57,0
IT00641,LD00025,email opened,2025-07-28,instagram,desktop,CP594,Deborah Madden,thomascynthia@example.org,2025-06-05,Instagram,Luxembourg,57,0
IT00351,LD00025,page viewed,2025-08-29,instagram,desktop,CP511,Deborah Madden,thomascynthia@example.org,2025-06-05,Instagram,Luxembourg,57,0
IT01798,LD00026,ad clicked,2024-02-23,linkedin,mobile,CP761,Dustin Robbins,dereknolan@example.net,2024-02-16,LinkedIn,Korea,72,1
IT00161,LD00026,page viewed,2024-03-21,linkedin,mobile,CP288,Dustin Robbins,dereknolan@example.net,2024-02-16,LinkedIn,Korea,72,1
IT03081,LD00026,demo booked,2024-03-21,linkedin,mobile,CP596,Dustin Robbins,dereknolan@example.net,2024-02-16,LinkedIn,Korea,72,1
IT04384,LD00026,page viewed,2024-03-26,linkedin,mobile,CP497,Dustin Robbins,dereknolan@example.net,2024-02-16,LinkedIn,Korea,72,1
IT03395,LD00026,email opened,2024-04-05,linkedin,mobile,CP870,Dustin Robbins,dereknolan@example.net,2024-02-16,LinkedIn,Korea,72,1
IT04038,LD00026,demo booked,2024-05-01,linkedin,mobile,CP175,Dustin Robbins,dereknolan@example.net,2024-02-16,LinkedIn,Korea,72,1
IT04354,LD00027,demo booked,2025-05-29,google ads,desktop,CP371,Cody Ibarra,swansonemily@example.com,2025-05-24,Google Ads,Angola,73,1
IT02773,LD00027,page viewed,2025-06-08,google ads,mobile,CP444,Cody Ibarra,swansonemily@example.com,2025-05-24,Google Ads,Angola,73,1
IT04899,LD00027,ad clicked,2025-06-18,google ads,mobile,CP744,Cody Ibarra,swansonemily@example.com,2025-05-24,Google Ads,Angola,73,1
IT03396,LD00027,email opened,2025-06-23,google ads,mobile,CP243,Cody Ibarra,swansonemily@example.com,2025-05-24,Google Ads,Angola,73,1
IT01517,LD00027,email opened,2025-08-14,google ads,mobile,CP852,Cody Ibarra,swansonemily@example.com,2025-05-24,Google Ads,Angola,73,1
IT02021,LD00028,email opened,2024-01-05,linkedin,mobile,CP285,Alicia Bruce,dcarey@example.net,2023-12-16,LinkedIn,El Salvador,76,1
IT02288,LD00028,demo booked,2024-03-02,linkedin,mobile,CP392,Alicia Bruce,dcarey@example.net,2023-12-16,LinkedIn,El Salvador,76,1
IT00189,LD00028,ad clicked,2024-03-06,linkedin,desktop,CP746,Alicia Bruce,dcarey@example.net,2023-12-16,LinkedIn,El Salvador,76,1
IT04061,LD00029,demo booked,2025-05-28,instagram,mobile,CP218,Jason Clark,lroth@example.net,2025-04-21,Instagram,Vietnam,89,1
IT03317,LD00029,email opened,2025-06-02,instagram,mobile,CP813,Jason Clark,lroth@example.net,2025-04-21,Instagram,Vietnam,89,1
IT00443,LD00029,email opened,2025-06-23,instagram,desktop,CP553,Jason Clark,lroth@example.net,2025-04-21,Instagram,Vietnam,89,1
IT03148,LD00031,email opened,2024-12-07,instagram,desktop,CP559,Michael Lopez,seth95@example.net,2024-11-21,Instagram,French Southern Territories,69,1
IT01271,LD00031,email opened,2024-12-17,instagram,desktop,CP469,Michael Lopez,seth95@example.net,2024-11-21,Instagram,French Southern Territories,69,1
IT00477,LD00031,ad clicked,2025-01-15,instagram,mobile,CP177,Michael Lopez,seth95@example.net,2024-11-21,Instagram,French Southern Territories,69,1
IT03319,LD00032,demo booked,2025-09-09,email campaign,desktop,CP374,Sharon Larsen,samuel48@example.com,2025-07-27,Email Campaign,Montserrat,66,0
IT03178,LD00033,email opened,2025-07-13,email campaign,desktop,CP781,Gary Mendoza MD,nealkurt@example.com,2025-07-13,Email Campaign,Austria,83,1
IT00200,LD00033,demo booked,2025-07-28,email campaign,desktop,CP478,Gary Mendoza MD,nealkurt@example.com,2025-07-13,Email Campaign,Austria,83,1
IT00736,LD00033,ad clicked,2025-08-12,email campaign,desktop,CP365,Gary Mendoza MD,nealkurt@example.com,2025-07-13,Email Campaign,Austria,83,1
IT01139,LD00033,email opened,2025-08-14,email campaign,mobile,CP864,Gary Mendoza MD,nealkurt@example.com,2025-07-13,Email Campaign,Austria,83,1
IT04181,LD00034,page viewed,2025-06-19,instagram,mobile,CP394,Jennifer Williams,qrodriguez@example.org,2025-04-29,Instagram,Samoa,54,1
IT01966,LD00034,ad clicked,2025-07-06,instagram,mobile,CP222,Jennifer Williams,qrodriguez@example.org,2025-04-29,Instagram,Samoa,54,1
IT04847,LD00034,ad clicked,2025-07-12,instagram,mobile,CP966,Jennifer Williams,qrodriguez@example.org,2025-04-29,Instagram,Samoa,54,1
IT00515,LD00034,demo booked,2025-07-22,instagram,desktop,CP444,Jennifer Williams,qrodriguez@example.org,2025-04-29,Instagram,Samoa,54,1
IT04620,LD00035,demo booked,2024-03-17,linkedin,desktop,CP498,Jennifer Morales,teresa25@example.org,2024-02-29,LinkedIn,Saint Vincent and the Grenadines,73,1
IT01460,LD00035,page viewed,2024-04-10,linkedin,desktop,CP761,Jennifer Morales,teresa25@example.org,2024-02-29,LinkedIn,Saint Vincent and the Grenadines,73,1
IT03781,LD00036,demo booked,2024-03-26,email campaign,mobile,CP388,Seth Miller,ocole@example.org,2024-03-22,Email Campaign,Anguilla,28,0
IT03718,LD00036,ad clicked,2024-04-19,email campaign,desktop,CP293,Seth Miller,ocole@example.org,2024-03-22,Email Campaign,Anguilla,28,0
IT01684,LD00037,page viewed,2025-06-04,linkedin,desktop,CP215,John Wright,obrown@example.net,2025-04-23,LinkedIn,Botswana,74,0
IT00703,LD00037,ad clicked,2025-06-06,linkedin,mobile,CP579,John Wright,obrown@example.net,2025-04-23,LinkedIn,Botswana,74,0
IT02691,LD00037,email opened,2025-07-01,linkedin,desktop,CP884,John Wright,obrown@example.net,2025-04-23,LinkedIn,Botswana,74,0
IT02832,LD00037,page viewed,2025-07-09,linkedin,desktop,CP561,John Wright,obrown@example.net,2025-04-23,LinkedIn,Botswana,74,0
IT02724,LD00037,email opened,2025-07-21,linkedin,desktop,CP660,John Wright,obrown@example.net,2025-04-23,LinkedIn,Botswana,74,0
IT03657,LD00038,ad clicked,2024-12-19,linkedin,mobile,CP777,Terry Hernandez,patrick90@example.org,2024-12-18,LinkedIn,Nicaragua,83,1
IT00561,LD00038,email opened,2024-12-31,linkedin,desktop,CP793,Terry Hernandez,patrick90@example.org,2024-12-18,LinkedIn,Nicaragua,83,1
IT04017,LD00038,demo booked,2025-03-09,linkedin,mobile,CP456,Terry Hernandez,patrick90@example.org,2024-12-18,LinkedIn,Nicaragua,83,1
IT00649,LD00038,email opened,2025-03-15,linkedin,desktop,CP737,Terry Hernandez,patrick90@example.org,2024-12-18,LinkedIn,Nicaragua,83,1
IT04278,LD00039,ad clicked,2024-07-04,instagram,desktop,CP831,Steven Brown,paulharvey@example.org,2024-06-06,Instagram,Sao Tome and Principe,82,0
IT02330,LD00039,ad clicked,2024-07-26,instagram,desktop,CP828,Steven Brown,paulharvey@example.org,2024-06-06,Instagram,Sao Tome and Principe,82,0
IT03986,LD00039,demo booked,2024-09-01,instagram,desktop,CP384,Steven Brown,paulharvey@example.org,2024-06-06,Instagram,Sao Tome and Principe,82,0
IT01807,LD00040,email opened,2025-06-28,linkedin,mobile,CP272,David Reynolds,dfreeman@example.net,2025-06-25,LinkedIn,Myanmar,87,1
IT02179,LD00040,demo booked,2025-07-10,linkedin,mobile,CP890,David Reynolds,dfreeman@example.net,2025-06-25,LinkedIn,Myanmar,87,1
IT02525,LD00040,page viewed,2025-07-21,linkedin,desktop,CP241,David Reynolds,dfreeman@example.net,2025-06-25,LinkedIn,Myanmar,87,1
IT00700,LD00040,email opened,2025-08-03,linkedin,mobile,CP975,David Reynolds,dfreeman@example.net,2025-06-25,LinkedIn,Myanmar,87,1
IT04664,LD00040,email opened,2025-08-06,linkedin,mobile,CP906,David Reynolds,dfreeman@example.net,2025-06-25,LinkedIn,Myanmar,87,1
IT04177,LD00040,demo booked,2025-08-22,linkedin,mobile,CP871,David Reynolds,dfreeman@example.net,2025-06-25,LinkedIn,Myanmar,87,1
IT02526,LD00040,ad clicked,2025-08-27,linkedin,mobile,CP718,David Reynolds,dfreeman@example.net,2025-06-25,LinkedIn,Myanmar,87,1
IT01777,LD00040,ad clicked,2025-08-28,linkedin,mobile,CP841,David Reynolds,dfreeman@example.net,2025-06-25,LinkedIn,Myanmar,87,1
IT00986,LD00040,page viewed,2025-08-30,linkedin,desktop,CP942,David Reynolds,dfreeman@example.net,2025-06-25,LinkedIn,Myanmar,87,1
IT00053,LD00040,page viewed,2025-09-23,linkedin,mobile,CP824,David Reynolds,dfreeman@example.net,2025-06-25,LinkedIn,Myanmar,87,1
IT02317,LD00041,email opened,2023-12-25,instagram,mobile,CP196,Emily Lutz,tbonilla@example.net,2023-12-13,Instagram,Burkina Faso,73,0
IT00893,LD00041,ad clicked,2023-12-26,instagram,desktop,CP614,Emily Lutz,tbonilla@example.net,2023-12-13,Instagram,Burkina Faso,73,0
IT00833,LD00041,page viewed,2024-01-13,instagram,mobile,CP289,Emily Lutz,tbonilla@example.net,2023-12-13,Instagram,Burkina Faso,73,0
IT01967,LD00041,page viewed,2024-01-27,instagram,desktop,CP386,Emily Lutz,tbonilla@example.net,2023-12-13,Instagram,Burkina Faso,73,0
IT00370,LD00041,demo booked,2024-01-29,instagram,desktop,CP707,Emily Lutz,tbonilla@example.net,2023-12-13,Instagram,Burkina Faso,73,0
IT03225,LD00041,page viewed,2024-02-15,instagram,desktop,CP659,Emily Lutz,tbonilla@example.net,2023-12-13,Instagram,Burkina Faso,73,0
IT02857,LD00041,demo booked,2024-02-18,instagram,desktop,CP871,Emily Lutz,tbonilla@example.net,2023-12-13,Instagram,Burkina Faso,73,0
IT02327,LD00041,page viewed,2024-03-02,instagram,mobile,CP444,Emily Lutz,tbonilla@example.net,2023-12-13,Instagram,Burkina Faso,73,0
IT01247,LD00042,email opened,2024-08-15,instagram,mobile,CP180,Lee Young,schaeferkristen@example.net,2024-07-29,Instagram,Russian Federation,71,0
IT00881,LD00042,demo booked,2024-09-20,instagram,desktop,CP445,Lee Young,schaeferkristen@example.net,2024-07-29,Instagram,Russian Federation,71,0
IT04328,LD00042,ad clicked,2024-09-29,instagram,mobile,CP870,Lee Young,schaeferkristen@example.net,2024-07-29,Instagram,Russian Federation,71,0
